no;code;nom;surf;long;lat;alt;nbcom;biogeo;activplus;activmoins
620;6349;Vieux chênes de la Panonnie;28.29;1.65;44.77;315;1;Atlantique;1;1
621;6350;Vieux chênes des Imbards;33.09;1.63;44.85;249.5;1;Atlantique;1;1
622;6354;Landes et pelouses serpentinicoles du sud corrèzien;115;1.93;44.99;408.5;3;Continentale;6;4
623;6355;Gorges de la Vézère autour de Treignac;350;1.84;45.57;534.5;5;Continentale;10;9
624;6359;Pelouses et landes serpentinicoles du sud de la Haute Vienne;260;1.4;45.58;416;5;Continentale;5;8
625;6362;Dunes des Charmes (à Sermoyer);13.73;4.98;46.51;178;1;Continentale;5;5
626;7215;Marais de Lavours;423;5.75;45.83;233;10;Continentale;3;1
628;6365;Revermont et gorges de l'Ain;1730.3;5.39;46.33;444;24;Continentale;16;12
629;6366;Marais de la haute Versoix et de Brou;61;6.16;46.36;484;2;Continentale;2;2
630;6368;Massifs de Crussol, Soyons, Cornas-Chateaubourg;457;4.84;44.92;242;6;Méditerranéenne;11;11
631;6369;Tourbières du plateau de Saint-Agrève;181;4.38;45.05;1076;2;Continentale;6;4
632;6371;Rompon-Ouvèze-Payre;1054;4.74;44.78;280;18;Méditerranéenne;5;8
633;6372;Suc de Clava;13;4.64;45.31;568;1;Continentale;1;1
634;6375;Milieux aquatiques et alluviaux de la basse vallée de la Drôme;371;4.92;44.74;145;5;Méditerranéenne;10;10
635;6377;Pelouses, forêts et habitats rocheux de la montagne de l'Aup et de la Sarcena;504;5.57;44.47;1449;1;Méditerranéenne;2;0
636;7247;Plateau de Beauregard;413;6.39;45.88;1574;6;Alpine;6;4
638;6385;Roc d'Enfer;4047;6.59;46.18;1545;8;Alpine;3;4
639;6386;Plateau de Loëx;1231;6.65;46.12;1348;6;Alpine;6;5
641;6389;Massif des Voirons;978;6.35;46.2;1201;9;Alpine;8;5
642;6391;Le Salève;4427;6.16;46.1;1016;12;Alpine;8;8
643;6392;Vallée de l'Arve;757;6.34;46.11;433;30;Alpine;5;3
645;6393;Les Usses;307;5.85;45.99;290;7;Continentale;8;6
646;6394;Delta de la Dranse;53;6.51;46.39;376;2;Alpine;6;6
648;6396;Zones humides du Bas Chablais;282;6.43;46.33;603;7;Alpine;9;11
649;6397;Plateau Gavot;165;6.65;46.37;866;7;Alpine;8;7
650;6398;Marais de Chilly et de Marival;38;6.3;46.29;434;4;Alpine;7;8
651;6399;L'Isle Crémieu;13632;5.36;45.77;302;36;Continentale;11;10
652;6400;Tourbière du Grand Lemps;786;5.41;45.43;553;5;Continentale;4;7
653;6403;La Bourne;2805;5.39;45.06;581;19;Méditerranéenne;6;5
654;6405;Etangs du Forez;115;4.05;45.76;370;5;Continentale;6;5
655;6406;Forêts et tourbières des Monts de la Madeleine;241.1;3.83;45.99;1043;5;Continentale;6;6
656;6407;Lignon, Vizezy, Anzon et leurs affluents;2388;3.83;45.72;550;53;Continentale;3;3
657;6408;Tourbières du Pilat et landes de Chaussitre;351;4.44;45.3;1156;6;Continentale;10;8
658;6410;Bois de Lespinasse, de la Benisson-Dieu et de la Pacaudière;631;3.97;46.16;339;3;Continentale;1;0
659;6411;Réseau de zones humides, pelouses, landes et falaises de l'avant-pays savoyard;3151;5.71;45.66;504;32;Continentale;11;10
660;6414;Tourbière des Creusates;12;6.02;45.68;1325;1;Alpine;1;1
661;6415;Tourbière et lac des Saisies;288;6.51;45.77;1613;4;Alpine;5;6
662;6418;Perron des Encombres;2030.2;6.43;45.28;1693;6;Alpine;13;10
664;6420;Gîte à chauves-souris des mines de Vallossières;2;4.53;46.07;626;1;Continentale;4;3
665;6421;Partie orientale du Massif des Bauges;14486;6.22;45.66;1329;17;Alpine;2;2
666;6423;Site à chiroptères des Monts du Matin;315;4.26;45.87;530;4;Continentale;1;5
667;6424;Vallons et combes du Pilat rhodanien;1203;4.68;45.42;375;13;Continentale;9;7
668;6425;Lac Léman;1376;6.37;46.35;378;16;Alpine;2;7
670;6426;Vallée de l'Allier nord;4334.7;3.32;46.49;210;23;Continentale;12;12
671;6427;Vallée de l'Allier sud;2091.9;3.41;46.19;250;17;Continentale;12;12
672;7255;Gorges de la Sioule;26070;2.79;46.01;550;58;Continentale;5;5
674;6430;Vallées et côteaux xérothermiques des Couzes et Limagnes;2311;3.05;45.64;650;43;Continentale;1;1
675;6431;Cézallier;2170;2.89;45.42;1100;8;Continentale;7;6
676;6432;Auzelles;12.04;3.49;45.6;690;1;Continentale;3;3
677;6433;Massif cantalien;6106;2.68;45.1;1450;16;Continentale;14;12
678;6434;Zones humides de la Planèze de Saint-Flour;2276;2.96;45.03;1022;12;Continentale;7;7
679;6436;Côteaux de Montlaison / la Garenne / Prés salés de Beaumont;82;3.32;45.31;495;2;Continentale;12;9
680;6438;Mézenc;2802;4.16;44.92;1595;4;Continentale;12;8
681;6439;Marais de Limagne;234;3.66;45.06;1080;2;Continentale;8;8
682;6440;Sommets et versants orientaux de la Margeride;1235;3.45;44.86;1358;3;Continentale;3;3
683;6441;Gorges de l'Arzon;877;3.86;45.22;728.5;5;Continentale;3;3
684;6442;Saint-Beauzire;17;3.28;45.26;690;1;Continentale;3;2
685;6443;Mont Bar;21;3.72;45.19;1156;1;Continentale;5;3
686;6445;Section à moules perlières de la Truyère;5.3;3.24;44.92;752.5;2;Continentale;1;3
687;6446;Lacs et rivières à loutres;240.8;2.51;45.71;896.5;22;Continentale;4;3
688;6448;Cavité minière de la Pause;262;3.62;45.75;500;3;Continentale;9;6
689;6449;Tunnels des Gorges du Chavanon;545;2.49;45.56;675;1;Continentale;13;12
690;6450;Gîtes à chauve-souris du pays des Couzes;1231;3.03;45.57;675;7;Continentale;7;6
691;6451;Gîtes de la Sioule;730;2.84;45.84;690;7;Continentale;11;10
696;6457;Forêt de pins de Salzmann de Bessèges;743;4.1;44.32;350.5;2;Méditerranéenne;3;4
697;6458;Vallée du Gardon de Saint-Jean;19020;3.76;44.1;605;13;Méditerranéenne;8;5
698;6459;Causse Méjean;1269;3.52;44.29;860;3;Méditerranéenne;0;1
699;6462;Le Valat de Solan;58;4.49;44.11;203.5;2;Méditerranéenne;3;1
700;6465;Massif du San Pedrone (Castagniccia);732;9.3;42.25;820;3;Méditerranéenne;12;11
701;6468;Rivière et vallée du Fango;18964;8.69;42.39;1275;4;Méditerranéenne;7;5
